symbol;Industry;Sector;Country;Year;GDP;LnGDPperCapita;EPU;TotalAssets;TotalCapitalization;TotalDebt;TotalEquityGrossMinorityInterest;TotalLiabilitiesNetMinorityInterest;TotalNonCurrentAssets;TotalNonCurrentLiabilitiesNetMinorityInterest;CashAndCashEquivalents;NetIncome;FreeCashFlow;EBIT;BasicEPS;DilutedEPS;DividendsPayable;TotalRevenue
000032.SZ;Electronic Components;Technology;China;2019;10143.8382;9.224621726;791.8737477;8866368000;6821280000;3357216000;3780936000;5085432000;6774300000;4874900000;473616000;1381464000;258912000;1812816000;3.04992;3.04272;0;6127128000
000032.SZ;Electronic Components;Technology;China;2020;10408.66976;9.250394368;747.1823239;11134512000;8863776000;4314816000;4699728000;6434784000;9018400000;6795700000;859968000;1513800000;806904000;1960920000;3.33576;мар.28;0;6552360000
000063.SZ;Communication Equipment;Technology;China;2020;10408.66976;9.250394368;747.1823239;11134512000;8863776000;4314816000;4699728000;6434784000;9018400000;6795700000;859968000;1513800000;806904000;1960920000;1.66788;янв.14;0;6552360000
000063.SZ;Communication Equipment;Technology;China;2021;12556.33312;9.437980448;508.8947197;461001600;210186720;50438880;191574720;269426880;246709000;68008000;123137280;36000000;-962640;57900240;0.633384;0.428976;0;854186400
000066.SZ;Computer Hardware;Technology;China;2022;12933.02311;9.467539251;716.9235693;391535280;213478560;57215520;182423520;209111760;178767000;79900000;102378240;-15747840;-30906000;5723280;-0.316512;-0.316512;0;644207040
000066.SZ;Computer Hardware;Technology;China;2020;10408.66976;9.250394368;747.1823239;1976878.8;1799546.4;27959.76;1799546.4;177332.4;1834157;16505;504462.24;-1701115.2;-1686325.68;-1712512.8;-0.055224;-0.055224;0;фев.16
000066.SZ;Computer Hardware;Technology;China;2021;12556.33312;9.437980448;508.8947197;2036858.4;1836416.88;99527.04;1748773.44;288084.96;1563482;121727;850152.96;-2346238.08;-2248092;-2342869.2;-0.050616;-0.050616;0;0
000069.SZ;Lodging;Consumer Cyclical;China;2022;12933.02311;9.467539251;716.9235693;2244138.48;2103480;160004.16;1968894;275244.48;1381383;199432;1188040.32;-1773409.68;-1583914.32;-1716724.08;-0.025704;-0.025704;0;0
000069.SZ;Lodging;Consumer Cyclical;China;2019;10143.8382;9.224621726;791.8737477;34414560;21471840;8221680;21108960;13305600;45652000;6640000;1004400;-7027920;-15271200;-6472800;-0.003816;-0.003816;0;44640
000069.SZ;Lodging;Consumer Cyclical;China;2020;10408.66976;9.250394368;747.1823239;47397600;41316480;5911920;39479040;7918560;64366000;1684000;879840;-12639600;-10007280;-12488400;-0.004752;-0.004752;0;50400
000100.SZ;Semiconductor Equipment & Materials;Technology;China;2019;10143.8382;9.224621726;791.8737477;487427563;334377743;169877911;267960406;219467157;1984078000;674888000;17925103;8383900;28036127;25830938;0.07105;0.07105;2095975;217791595
000157.SZ;Farm & Heavy Construction Machinery;Industrials;China;2020;10408.66976;9.250394368;747.1823239;515742206;349442982;212270604;248407852;267334354;1971670000;840437000;46504661;-19775448;10384668;-3554124;-0.167475;-0.167475;807534;188543761
000157.SZ;Farm & Heavy Construction Machinery;Industrials;China;2021;12556.33312;9.437980448;508.8947197;516072487;322104566;217500087;245515102;270557385;2052941000;743265000;25843930;-1141875;9872905;17615528;-0.00971355;-0.00971355;400925;230724116
000301.SZ;Textile Manufacturing;Consumer Cyclical;China;2020;10408.66976;9.250394368;747.1823239;25414909800;15401427300;972836900;15255673300;10159236500;89854000000;16567700000;3469330900;2310018200;2875109300;3102043000;0.15225;0.15022;498304100;11850937000
000301.SZ;Textile Manufacturing;Consumer Cyclical;China;2021;12556.33312;9.437980448;508.8947197;28136307500;17233969200;629401500;17055572800;11080734700;99975300000;15718500000;3375423100;2572213000;3090451700;3083773000;0.16849;0.16646;289275000;14789422900
000301.SZ;Textile Manufacturing;Consumer Cyclical;China;2022;12933.02311;9.467539251;716.9235693;28005494300;17202971100;780535000;16915543400;11089950900;1.00141E+11;14089800000;3030059200;2934953700;2864147300;3362492000;0.1864352;0.1851969;297354400;16180886400
000333.SZ;Furnishings, Fixtures & Appliances;Consumer Cyclical;China;2021;12556.33312;9.437980448;508.8947197;2404748150;1726152442;1283261252;818949908;1585798242;9506172000;5998248000;133379729;75979652;-131647936;-44301502;0.23203306;0.22408358;249081;396867233
000333.SZ;Furnishings, Fixtures & Appliances;Consumer Cyclical;China;2022;12933.02311;9.467539251;716.9235693;3843286538;2925042225;2248275953;1131480385;2711806153;14153944000;11518346000;39762016;30389100;-738745420;21289625;0.05862843;0.05716074;58058;577546571
000333.SZ;Furnishings, Fixtures & Appliances;Consumer Cyclical;China;2019;10143.8382;9.224621726;791.8737477;275595642;221224934;62331150;178748199;96847443;916787000;250463000;21645281;35947037;1556604;44307389;0.63133;0.63133;8538180;108217473
000338.SZ;Specialty Industrial Machinery;Industrials;China;2020;10408.66976;9.250394368;747.1823239;415006704;227678507;135294628;227678507;187328197;1401904000;522707000;34722135;24269462;8919211;109558491;0.4281676;0.4250211;5763982;112646121
000338.SZ;Specialty Industrial Machinery;Industrials;China;2021;12556.33312;9.437980448;508.8947197;695948554;512318408;175021728;443068003;252880551;1667112000;584425000;214998721;64482138;26901560;66345272;0.9259033;0.9029034;15314523;140744163
000338.SZ;Specialty Industrial Machinery;Industrials;China;2022;12933.02311;9.467539251;716.9235693;679088389;516772634;142544976;449857744;229230645;1756699000;645221000;88405079;105580300;31330005;143188283;1.0681454;1.0626441;25078620;277876347
000338.SZ;Specialty Industrial Machinery;Industrials;China;2019;10143.8382;9.224621726;791.8737477;917974120;557185468;132585187;555122176;362851944;1911906000;530953000;114951389;55643315;74494707;93806503;0.0867825;0.0867825;0;753573352
000408.SZ;Agricultural Inputs;Basic Materials;China;2020;10408.66976;9.250394368;747.1823239;977360958;619679627;110859112;612766056;364594902;2135131000;518983000;140679609;28459585;25517100;69648894;0.0424473;0.0424473;0;682948434
000408.SZ;Agricultural Inputs;Basic Materials;China;2021;12556.33312;9.437980448;508.8947197;1630448092;689845562;58492217;703843833;926604259;4807376000;273236000;118384728;139990424;89176885;148815646;0.2307298;0.2284968;0;801557883
000408.SZ;Agricultural Inputs;Basic Materials;China;2022;12933.02311;9.467539251;716.9235693;1725435040;1375767134;289676534;1169230874;556204166;4726295000;1245160000;131445951;24656786;-271848871;65584022;0.035525;0.0351596;0;848918798
000408.SZ;Agricultural Inputs;Basic Materials;China;2019;10143.8382;9.224621726;791.8737477;2214029041;1730498266;441693693;1525764849;688264192;9451937000;3150954000;6634446;4471481;92261876;44352252;0.0205436;0.0205436;911064;150866758
000425.SZ;Farm & Heavy Construction Machinery;Industrials;China;2020;10408.66976;9.250394368;747.1823239;2210177725;1687166292;417542783;1546267646;663910079;9075214000;2846768000;2661939;34321413;55738928;71437324;0.1296358;0.1296358;9028425;161909755
000425.SZ;Farm & Heavy Construction Machinery;Industrials;China;2021;12556.33312;9.437980448;508.8947197;2256286739;1686324654;419515537;1585427158;670859581;9377904000;2577246000;3016986;55798204;108005541;89836432;0.2103892;0.2103892;14242886;190348431
000538.SZ;Drug Manufacturers—Specialty & Generic;Healthcare;China;2019;10143.8382;9.224621726;791.8737477;126392266;89670784;65098446;42426391;83965875;396362000;282256000;15760717;6394094;-1186941;16114343;0.056617106;0.056617106;0;98330155
000568.SZ;Beverages—Wineries & Distilleries;Consumer Defensive;China;2020;10408.66976;9.250394368;747.1823239;333764683;276721480;47796756;248827250;84937433;777882000;252762000;120096424;9099272;-16196355;26427149;0.080570497;0.080570497;2161138;142427236
000568.SZ;Beverages—Wineries & Distilleries;Consumer Defensive;China;2021;12556.33312;9.437980448;508.8947197;986857907;705124966;557004189;264860596;721997311;3361196000;2659114000;161027923;29265089;4833633;70648872;0.259130718;0.259130718;7334999;389015396
000568.SZ;Beverages—Wineries & Distilleries;Consumer Defensive;China;2019;10143.8382;9.224621726;791.8737477;23624734;13979189;14783272;4691127;18933607;98739000;57117000;1378979;1860292;4519795;4455850;0.005380312;0.005380312;101500;12458922
000568.SZ;Beverages—Wineries & Distilleries;Consumer Defensive;China;2020;10408.66976;9.250394368;747.1823239;87295684;62656356;61462310;17267180;70028504;307791000;255128000;17207701;3559199;-15330966;8053619;0.010293927;0.010293927;1116500;22592682
000596.SZ;Beverages—Wineries & Distilleries;Consumer Defensive;China;2021;12556.33312;9.437980448;508.8947197;666141861;573023934;387934421;225877288;440264573;1384339000;1857378000;698726;11786992;-120525769;31090465;0.034090196;0.034090196;0;79120062
000596.SZ;Beverages—Wineries & Distilleries;Consumer Defensive;China;2019;10143.8382;9.224621726;791.8737477;286889547;156032499;79137926;151452413;135437134;432584000;202519000;2803024;32914217;28272825;44023392;0.3629437;0.3613197;0;340884705
000596.SZ;Beverages—Wineries & Distilleries;Consumer Defensive;China;2020;10408.66976;9.250394368;747.1823239;575006635;353906749;172068687;273765191;301241444;1267677000;572530000;7774291;9862552;35348593;15843744;0.107621668;0.107187654;0;322971376
000617.SZ;Financial Conglomerates;Financial Services;China;2021;12556.33312;9.437980448;508.8947197;683364178;330547539;155597470;323177218;360186960;1719540000;255320000;6851250;70082502;14830774;90224162;0.7006342;0.6864039;11360286;593536881
000617.SZ;Financial Conglomerates;Financial Services;China;2019;10143.8382;9.224621726;791.8737477;7288715000;2932741000;2552116000;1969303000;5319412000;23623000000;12274000000;1020278000;212541000;355250000;383467000;0.15840496;0.15840496;2233000;6137096000
000617.SZ;Financial Conglomerates;Financial Services;China;2020;10408.66976;9.250394368;747.1823239;3820663000;1432774000;2153221000;273441000;3547222000;10472000000;8688000000;716996000;283794000;376362000;470554000;0.211509151;0.211509151;17255000;7316729000
000625.SZ;Auto Manufacturers;Consumer Cyclical;China;2021;12556.33312;9.437980448;508.8947197;4639362000;2067758000;2453052000;561498000;4077864000;14082000000;11444000000;517650000;326830000;37961000;544852000;0.24319806;0.24126956;34104000;8505294000
000625.SZ;Auto Manufacturers;Consumer Cyclical;China;2022;12933.02311;9.467539251;716.9235693;8245454000;3091081000;4253053000;790888000;7454566000;26439000000;20306000000;1185926000;247660000;199752000;658532000;0.183780366;0.183022567;22533000;11067560000
000625.SZ;Auto Manufacturers;Consumer Cyclical;China;2020;10408.66976;9.250394368;747.1823239;3739363124;1522513804;762527885;1675492168;2063870956;16676523000;8719989000;223838356;208209183;152519584;85090089;0.209772486;0.209772486;128297624;468332571
000625.SZ;Auto Manufacturers;Consumer Cyclical;China;2021;12556.33312;9.437980448;508.8947197;3971198259;1818741554;957423516;1836442545;2134755714;17210554000;8914083000;323951054;51340121;69877269;166325005;0.01201354;0.01201354;50687476;532695142
000629.SZ;Other Industrial Metals & Mining;Basic Materials;China;2022;12933.02311;9.467539251;716.9235693;6553427279;4223756040;1192527763;3096374834;3457052445;26014397000;12830811000;634569677;542903200;-234639783;743917657;0.494143615;0.494143615;128998177;1119688318
000629.SZ;Other Industrial Metals & Mining;Basic Materials;China;2019;10143.8382;9.224621726;791.8737477;3897092500;-97927200;3171814100;-714417900;4611510400;15058800000;15854800000;334523700;167211100;209922300;410080300;-1.43115;-1.43115;0;2322786900
000629.SZ;Other Industrial Metals & Mining;Basic Materials;China;2020;10408.66976;9.250394368;747.1823239;3206283500;-1552239500;4035903900;-2872186100;6078469600;10377000000;19730600000;622154400;-2066479100;106270500;-1614296600;-6.42901;-6.42901;0;1176019600
000629.SZ;Other Industrial Metals & Mining;Basic Materials;China;2021;12556.33312;9.437980448;508.8947197;3762300500;-1895553100;5056587900;-3721599000;7483899500;12687100000;25156300000;623981400;-967843100;-220742200;-230303500;-2.800094101;-2.800094101;0;2025067100
000651.SZ;Furnishings, Fixtures & Appliances;Consumer Cyclical;China;2019;10143.8382;9.224621726;791.8737477;8125544945;5524554665;961736860;5156450299;2969094646;29558310000;6570889000;100288699;550975698;593247200;741882582;0.089742646;0.089431447;137273472;1199274468
000651.SZ;Furnishings, Fixtures & Appliances;Consumer Cyclical;China;2020;10408.66976;9.250394368;747.1823239;9405554949;4975520053;1576275715;4977849072;4427705877;29231493000;12133274000;291999260;842917712;468993742;1172371893;0.137540417;0.137165882;223599831;1645013951
000651.SZ;Furnishings, Fixtures & Appliances;Consumer Cyclical;China;2021;12556.33312;9.437980448;508.8947197;10663949107;6780629548;2969769012;4551132110;6112816997;31436736000;17153406000;519784748;957570691;575061039;1443955646;0.157439086;0.157090535;74748457;1840004180
000661.SZ;Drug Manufacturers—Specialty & Generic;Healthcare;China;2022;12933.02311;9.467539251;716.9235693;9661738919;6459881022;2590517307;4117478029;5544260890;30465160000;18005184000;530600182;857889571;1963608647;1456479934;0.152318817;0.151854759;95041961;1844705254
000768.SZ;Aerospace & Defense;Industrials;China;2019;10143.8382;9.224621726;791.8737477;2686448611;1487677786;2136407119;-57177386;2743625997;4964453000;7887399000;907346461;3279871;306698287;166270398;0.00819105;0.00819105;0;3475933475
000768.SZ;Aerospace & Defense;Industrials;China;2020;10408.66976;9.250394368;747.1823239;3435419953;2327643675;2613139424;170534616;3264885337;5636938000;9687517000;1297460087;141509676;582427909;367896697;0.26935055;0.26935055;0;3939487832
000768.SZ;Aerospace & Defense;Industrials;China;2021;12556.33312;9.437980448;508.8947197;4074100786;2551795260;2729215636;132788593;3941312193;6302362000;12176961000;1482307827;121572437;424366628;324699109;0.2082983;0.2082983;0;5473968080
000776.SZ;Capital Markets;Financial Services;China;2022;12933.02311;9.467539251;716.9235693;4344225984;2475658689;2802382317;215686485;4128539499;8413409000;12207892000;1435506989;132464199;471250087;326723831;0.22646071;0.22646071;0;6288487107
000776.SZ;Capital Markets;Financial Services;China;2019;10143.8382;9.224621726;791.8737477;149904132;95379753;56620963;53948468;95955664;237286000;210115000;1302651;40648314;42189287;61200237;0.231879795;0.231879795;10431358;198432500
000776.SZ;Capital Markets;Financial Services;China;2020;10408.66976;9.250394368;747.1823239;258342875;172154962;140072639;44932629;213410246;472130000;687453000;14249991;51628990;27468945;74898677;0.294519505;0.294519505;11612818;239906212
000776.SZ;Capital Markets;Financial Services;China;2021;12556.33312;9.437980448;508.8947197;472593541;387484776;76027154;331881655;140711886;631573000;350156000;10528392;66020066;-4830588;103380592;0.38367;0.38367;7487046;277380621
000786.SZ;Building Products & Equipment;Industrials;China;2019;10143.8382;9.224621726;791.8737477;158018245;98705502;59007837;71241632;86776613;604207000;175927000;11539941;15109696;5090225;28630308;0.029012557;0.028396858;4169011;134358189
000786.SZ;Building Products & Equipment;Industrials;China;2020;10408.66976;9.250394368;747.1823239;492719164;378391188;36579179;364983850;127735314;977440000;429008000;263917255;9475431;12102048;17125283;0.01782949;0.01776453;2250458;127950697
000786.SZ;Building Products & Equipment;Industrials;China;2021;12556.33312;9.437980448;508.8947197;505155959;411365696;17647602;411365696;93790263;1057807000;256455000;257007135;31471293;30444925;44263541;0.067396;0.066787;7748307;152510246
000876.SZ;Farm Products;Consumer Defensive;China;2019;10143.8382;9.224621726;791.8737477;8465228093;4746926219;4273446177;1654114847;6811113246;26655204000;20228277000;860270355;60382756;119026411;796813773;0.04263;0.0406;0;6789736940
000876.SZ;Farm Products;Consumer Defensive;China;2020;10408.66976;9.250394368;747.1823239;10081975918;6075835878;5063044721;1789147402;8292828516;26752922000;25411044000;1538054875;280863492;713918520;689315935;0.38164;0.38164;0;8012349100
000876.SZ;Farm Products;Consumer Defensive;China;2021;12556.33312;9.437980448;508.8947197;11348387561;6235245282;5670861028;1791601469;9556786092;29660264000;25852475000;1528350460;85149365;444281334;573633949;0.10556;0.10556;0;9813690915
000876.SZ;Farm Products;Consumer Defensive;China;2022;12933.02311;9.467539251;716.9235693;11744452741;6274148202;5392072602;2400042407;9344410334;31350101000;23733639000;1650578587;-642779809;39568151;87072181;-0.61103;-0.61103;0;10922420684
000877.SZ;Building Materials;Basic Materials;China;2019;10143.8382;9.224621726;791.8737477;13830194511;9132656568;9002248556;800775318;13029419193;44739483000;47968171000;1381187640;-515821985;-84701141;-461500200;-0.6480166;-0.6480166;1319906;10621675575
000877.SZ;Building Materials;Basic Materials;China;2020;10408.66976;9.250394368;747.1823239;17475035557;9340876104;12272944565;-784903154;18259938711;51893675000;61563263000;2814158956;-1358419160;717199000;-1321305685;-1.7065804;-1.7065804;1107568;11884329282
000877.SZ;Building Materials;Basic Materials;China;2021;12556.33312;9.437980448;508.8947197;18790566704;11658030769;11004358995;1259377084;17531189620;53270924000;61167017000;1762179258;2838944038;2307127683;4290038382;2.024232161;2.024232161;2139214;21441915803
000877.SZ;Building Materials;Basic Materials;China;2022;12933.02311;9.467539251;716.9235693;17873947000;11095371000;10927084000;1239924000;16634023000;53592000000;57754000000;2530598000;-68005000;833112000;1004444000;-0.085400882;-0.085400882;0;19593560000
000895.SZ;Packaged Foods;Consumer Defensive;China;2019;10143.8382;9.224621726;791.8737477;13830194511;9132656568;9002248556;800775318;13029419193;44739483000;47968171000;1381187640;-515821985;-84701141;-461500200;-0.6480166;-0.6480166;1319906;10621675575
000895.SZ;Packaged Foods;Consumer Defensive;China;2020;10408.66976;9.250394368;747.1823239;17475035557;9340876104;12272944565;-784903154;18259938711;51893675000;61563263000;2814158956;-1358419160;717199000;-1321305685;-1.7065804;-1.7065804;1107568;11884329282
000895.SZ;Packaged Foods;Consumer Defensive;China;2021;12556.33312;9.437980448;508.8947197;18790566704;11658030769;11004358995;1259377084;17531189620;53270924000;61167017000;1762179258;2838944038;2307127683;4290038382;2.024232161;2.024232161;2139214;21441915803
000938.SZ;Electronics & Computer Distribution;Technology;China;2020;10408.66976;9.250394368;747.1823239;976305967;668200281;343948381;456622516;519683451;2109208000;1315176000;109166092;48644484;74026792;69645240;0.1242969;0.1240127;0;1095410736
000938.SZ;Electronics & Computer Distribution;Technology;China;2021;12556.33312;9.437980448;508.8947197;1251857761;857044482;480017860;549867724;701990037;2362752000;1857254000;219636865;93923228;52428607;128487429;0.2545823;0.2529583;0;1515593737
000938.SZ;Electronics & Computer Distribution;Technology;China;2022;12933.02311;9.467539251;716.9235693;1609986910;1127845873;696292639;584437203;1025549707;3101860000;3087302000;324059050;96990152;50701077;139769154;0.2670668;0.2635143;0;1830218565
000938.SZ;Electronics & Computer Distribution;Technology;China;2019;10143.8382;9.224621726;791.8737477;1992712351;1420264531;572712735;1041058501;951653850;7147088000;3454056000;38635163;-13037675;15684998;52412164;-0.02188137;-0.02188137;2856616;1068527852
000963.SZ;Drug Manufacturers—Specialty & Generic;Healthcare;China;2020;10408.66976;9.250394368;747.1823239;2275821835;1308551195;756344708;759246999;1516574836;7805798000;5480149000;128384914;-188349084;91299859;43927170;-0.316110382;-0.316110382;6863430;1098510546
000963.SZ;Drug Manufacturers—Specialty & Generic;Healthcare;China;2021;12556.33312;9.437980448;508.8947197;2428941081;1530108643;846280204;957344143;1471596938;7510244000;5089612000;294217035;150817632;128208101;228897116;0.169946931;0.169946931;28864773;1709905540
000963.SZ;Drug Manufacturers—Specialty & Generic;Healthcare;China;2022;12933.02311;9.467539251;716.9235693;2491765115;1544870194;746352236;1080665831;1411099284;7926292000;4762664000;172363646;176112447;-40122341;282725611;0.295573481;0.295573481;46104548;1791399281
000963.SZ;Drug Manufacturers—Specialty & Generic;Healthcare;China;2019;10143.8382;9.224621726;791.8737477;6752203661;4693275349;3977332513;1713257882;5038945779;26130161000;18303085000;256432036;291965765;736738359;702593353;0.14453803;0.14453803;163212;2149934633
000977.SZ;Computer Hardware;Technology;China;2020;10408.66976;9.250394368;747.1823239;6790069860;4585433223;4074757491;1611771686;5178298174;25320540000;17884649000;720444361;38779496;590267769;373659664;0.01919771;0.01919771;9579367;2007564440
000977.SZ;Computer Hardware;Technology;China;2021;12556.33312;9.437980448;508.8947197;8395358132;6400791985;5465563474;1738857400;6656500732;33446988000;26938155000;932500800;141213093;-999892740;666674127;0.06990711;0.06990711;14802963;2485582141
000977.SZ;Computer Hardware;Technology;China;2019;10143.8382;9.224621726;791.8737477;18654127562;3612314356;1876863905;2667354837;15986772725;14346887000;10349738000;47058851;320770653;163224789;655318916;0.11579526;0.11562474;0;2303502915
000983.SZ;Thermal Coal;Energy;China;2020;10408.66976;9.250394368;747.1823239;18377709567;3734084718;1815756236;2558959536;15818750031;14770445000;10827359000;25977707;99520547;502697832;289092706;0.03672473;0.03661105;0;2270760639
000983.SZ;Thermal Coal;Energy;China;2021;12556.33312;9.437980448;508.8947197;20385794905;2694396873;1277906112;2636129174;17749665731;13879473000;12852683000;71071112;197005613;221479902;458000886;-0.03784935;-0.03784935;0;2372144320
000983.SZ;Thermal Coal;Energy;China;2019;10143.8382;9.224621726;791.8737477;10135181000;5497646000;3057992000;3056368000;7078813000;39790000000;26124000000;108808000;634781000;22127000;1175370000;0.294349797;0.294349797;0;5154170000
000987.SZ;Financial Conglomerates;Financial Services;China;2020;10408.66976;9.250394368;747.1823239;10978849000;6178305000;3095141000;3548034000;7430815000;38627000000;26915000000;341040000;581392000;1712102000;1024541000;0.263899797;0.263899797;0;5121284000
000987.SZ;Financial Conglomerates;Financial Services;China;2021;12556.33312;9.437980448;508.8947197;10565338000;5959268000;2356424000;3950786000;6614552000;39097000000;21896000000;167475000;761453000;700756000;1304681000;0.345099594;0.345099594;0;6830138000
000987.SZ;Financial Conglomerates;Financial Services;China;2019;10143.8382;9.224621726;791.8737477;10135181000;5497646000;3057992000;3056368000;7078813000;39790000000;26124000000;108808000;634781000;22127000;1175370000;0.294349797;0.294349797;0;5154170000
000999.SZ;Drug Manufacturers—Specialty & Generic;Healthcare;China;2020;10408.66976;9.250394368;747.1823239;10978849000;6178305000;3095141000;3548034000;7430815000;38627000000;26915000000;341040000;581392000;1712102000;1024541000;0.263899797;0.263899797;0;5121284000
000999.SZ;Drug Manufacturers—Specialty & Generic;Healthcare;China;2021;12556.33312;9.437980448;508.8947197;10565338000;5959268000;2356424000;3950786000;6614552000;39097000000;21896000000;167475000;761453000;700756000;1304681000;0.345099594;0.345099594;0;6830138000
000999.SZ;Drug Manufacturers—Specialty & Generic;Healthcare;China;2019;10143.8382;9.224621726;791.8737477;3223223241;2191217119;317886835;1899580011;1323643230;13231608000;4343814000;86899631;743845389;1058499043;1086125719;136.986663;136.986663;0;2325557038
001289.SZ;Utilities—Renewable;Utilities;China;2020;10408.66976;9.250394368;747.1823239;3983348418;2411984491;285644345;2152144491;1831203927;13025331000;4422586000;603421763;818234130;1052978052;1237082609;0.146342091;0.146342091;69872600;2799274793
001289.SZ;Utilities—Renewable;Utilities;China;2021;12556.33312;9.437980448;508.8947197;5479200202;3701286617;956751586;2841652261;2637547941;14193287000;6460264000;2175510806;1293306098;1564270701;1921090703;0.23281055;0.23281055;81698568;3865093610
001289.SZ;Utilities—Renewable;Utilities;China;2019;10143.8382;9.224621726;791.8737477;1758935318;1002364874;445678583;632152353;1126782965;6504978000;3500959000;18595815;82195715;-22667995;125424362;1.05575022;1.05575022;16906449;1091546631
001872.SZ;Marine Shipping;Industrials;China;2020;10408.66976;9.250394368;747.1823239;1901375952;993191710;506366854;655801244;1245574708;6939498000;3260146000;33701045;53831743;4769688;94417533;0.69143424;0.69143424;26446028;1191068193
001872.SZ;Marine Shipping;Industrials;China;2021;12556.33312;9.437980448;508.8947197;2281283753;1302551936;759677562;707821415;1573462338;7929873000;4291558000;41476148;99183161;-212047913;166191634;1.2739468;1.2739468;34860987;1646229921
001872.SZ;Marine Shipping;Industrials;China;2019;10143.8382;9.224621726;791.8737477;6926044538;4737500726;2457525917;3214559607;3711484931;29639996000;15532552000;75451649;47754532;-52453982;237309030;0.02842;0.02842;8526;1426520382
001965.SZ;Infrastructure Operations;Industrials;China;2020;10408.66976;9.250394368;747.1823239;6249108964;3731395171;2081493183;2899888292;3349220672;21511770000;11236706000;447685238;-1178584505;-38155271;-633863846;-0.63742;-0.63742;12992;1069636232
001965.SZ;Infrastructure Operations;Industrials;China;2021;12556.33312;9.437980448;508.8947197;5788109159;3546896185;2008431859;2795444792;2992664367;21544911000;10654190000;325098004;-99292375;51797683;47956314;-0.05481;-0.05481;0;969945571
001965.SZ;Infrastructure Operations;Industrials;China;2019;10143.8382;9.224621726;791.8737477;8947893479;5774371337;3838643319;2696497314;6251396165;33737664000;20729147000;393244089;548642213;1132818967;1039997217;0.50344;0.50141;135778377;6076292019
001979.SZ;Real Estate—Development;Real Estate;China;2020;10408.66976;9.250394368;747.1823239;9968697452;5849982747;4319816046;2889862934;7078834518;35295081000;20465155000;795515588;739559247;1218886298;1138050074;0.64148;0.64148;184090956;6272387177
001979.SZ;Real Estate—Development;Real Estate;China;2021;12556.33312;9.437980448;508.8947197;13422335234;7317213561;5061606263;3411593437;10010741797;50567374000;36400282000;446590256;963853947;667080736;1496541781;0.83636;0.83636;20397034;7959797069
001979.SZ;Real Estate—Development;Real Estate;China;2019;10143.8382;9.224621726;791.8737477;7777447650;5563151055;2368745491;3572437036;4205010614;30403354000;15368717000;597170581;403959038;486559332;800007369;0.1409632;0.1409632;125120268;3297587622
002001.SZ;Drug Manufacturers—Specialty & Generic;Healthcare;China;2020;10408.66976;9.250394368;747.1823239;9497286386;5543125105;2047127719;4110855154;5386431232;35377232000;16879752000;654221904;792553006;764845536;1236865602;0.27654487;0.27654487;201353061;3782549547
002001.SZ;Drug Manufacturers—Specialty & Generic;Healthcare;China;2021;12556.33312;9.437980448;508.8947197;10056119605;6280582490;2443875385;4501572705;5554546900;38347663000;19382307000;704987535;1005372319;617962247;1042461434;0.32770087;0.32770087;67182241;4868810261
002001.SZ;Drug Manufacturers—Specialty & Generic;Healthcare;China;2019;10143.8382;9.224621726;791.8737477;7777447650;5563151055;2368745491;3572437036;4205010614;30403354000;15368717000;597170581;403959038;486559332;800007369;0.1409632;0.1409632;125120268;3297587622
002007.SZ;Biotechnology;Healthcare;China;2020;10408.66976;9.250394368;747.1823239;9497286386;5543125105;2047127719;4110855154;5386431232;35377232000;16879752000;654221904;792553006;764845536;1236865602;0.27654487;0.27654487;201353061;3782549547
002007.SZ;Biotechnology;Healthcare;China;2021;12556.33312;9.437980448;508.8947197;10056119605;6280582490;2443875385;4501572705;5554546900;38347663000;19382307000;704987535;1005372319;617962247;1042461434;0.32770087;0.32770087;67182241;4868810261
002007.SZ;Biotechnology;Healthcare;China;2019;10143.8382;9.224621726;791.8737477;9117136000;3517381000;2316433000;2985115000;6132021000;22757000000;10148000000;1080366000;205639000;173159000;560077000;0.103614448;0.103614448;18270000;12192992000
002027.SZ;Advertising Agencies;Communication Services;China;2020;10408.66976;9.250394368;747.1823239;10520272000;3913028000;2747605000;3460135000;7060137000;26411000000;10059000000;1151416000;542213000;119364000;901929000;0.27405;0.27405;9947000;14451773000
002027.SZ;Advertising Agencies;Communication Services;China;2021;12556.33312;9.437980448;508.8947197;11961572000;4530554000;3764635000;3734388000;8227184000;28086000000;11452000000;1409835000;638232000;302470000;1055600000;0.32074;0.32074;13195000;15783453000
002027.SZ;Advertising Agencies;Communication Services;China;2022;12933.02311;9.467539251;716.9235693;18735885000;5124735000;6348825000;4419716000;14316169000;49548000000;23798000000;2199505000;353017000;679441000;1058442000;0.17255;0.17255;15022000;20886670000
002027.SZ;Advertising Agencies;Communication Services;China;2019;10143.8382;9.224621726;791.8737477;6671623420;4372129755;2723235459;2245426848;4426196572;21528449000;15637848000;1233558732;492357215;403614953;844541915;0.1456525;0.1443533;119811412;2752770335
002028.SZ;Electrical Equipment & Parts;Industrials;China;2020;10408.66976;9.250394368;747.1823239;7259447272;4856335505;3147918970;2335680242;4923767030;24324425000;17839897000;936652759;172927174;221333539;471175586;0.0951055;0.0941311;57890931;2742283761
002028.SZ;Electrical Equipment & Parts;Industrials;China;2021;12556.33312;9.437980448;508.8947197;19861930669;11400197018;9932123145;5860614466;14001316203;70548840000;56014965000;3283348390;1243012848;234516562;2000729227;0.6984621;0.6961073;162325702;5056151450
