symbol;Industry;Sector;Country;Year;GDP;LnGDPperCapita;EPU;TotalAssets;TotalCapitalization;TotalDebt;TotalEquityGrossMinorityInterest;TotalLiabilitiesNetMinorityInterest;TotalNonCurrentAssets;TotalNonCurrentLiabilitiesNetMinorityInterest;CashAndCashEquivalents;NetIncome;FreeCashFlow;EBIT;BasicEPS;DilutedEPS;DividendsPayable;TotalRevenue
LRLCY;Household & Personal Products;Consumer Defensive;France;2020;39055.28293;10.57273343;313.706966;1419.89622;984.69727;0;984.69727;435.19895;0;0;1417.510395;-903.72604;-935.965265;-903.72604;-3.05875E-07;-3.05875E-07;0;0
LVMHF;Luxury Goods;Consumer Cyclical;France;2022;44968.74835;10.71372305;340.5026986;257784843.1;133193391.1;13447366.15;133193391.1;124591452;5388680000;819610000;10885234.8;65644567.85;28011665.45;90657434.8;5.88540205;5.88540205;26182.9;455781401.1
LVMHF;Luxury Goods;Consumer Cyclical;France;2020;39055.28293;10.57273343;313.706966;185108331.4;102765924.9;21580704.75;100312195.7;84796135.7;4983970000;1364520000;14280080.25;41993334.05;54072949.55;60668838.05;3.7649542;3.7649542;24470;354058877
LVMHF;Luxury Goods;Consumer Cyclical;France;2021;43658.97898;10.68416424;250.8150357;207978238.1;108265557.4;15543955.75;108265557.4;99712680.65;4747870000;1026590000;4855949.15;41670085.35;83265781.9;59114870.7;3.73595725;3.73595725;36949.7;338938129.9
LVMUY;Luxury Goods;Consumer Cyclical;France;2020;39055.28293;10.57273343;313.706966;613013263.8;213250666.6;281154182.5;196192384.9;416820878.9;14051120000;1885130000;499922.1;23640467;138339676.8;47084317.55;0.029024601;0.029024601;0;347299161.9
LVMUY;Luxury Goods;Consumer Cyclical;France;2021;43658.97898;10.68416424;250.8150357;772675486.8;219545941.2;154736779.1;219545941.2;553129545.7;31192500000;2404670000;11198083.75;121738.25;163008740.3;56151309;0.000149463;0.000149463;0;811849387.5
LVMUY;Luxury Goods;Consumer Cyclical;France;2020;39055.28293;10.57273343;313.706966;962602242.6;755796252.1;424203159.7;412429798.5;550172444;52589048000;32743582000;18817417.77;938671977.3;-9815675.57;949927553.4;10.6694094;10.6694094;15171.4;1601074155
LVMUY;Luxury Goods;Consumer Cyclical;France;2021;43658.97898;10.68416424;250.8150357;1102229103;849385608.9;447307794.9;497036206.1;605192896.5;53207144000;32151662000;5661195.675;83292429.73;27641899.28;105848692.2;0.2816497;0.2816497;8111.805;1978170901
PPRUF;Luxury Goods;Consumer Cyclical;France;2021;43658.97898;10.68416424;250.8150357;2840540251;1584873581;331684756;1581140687;1259399564;23238156000;3828161000;152518767.3;436397586.2;-61616554.79;466118811.4;0.191400007;0.191400007;0;1232524063
PPRUF;Luxury Goods;Consumer Cyclical;France;2019;40494.89829;10.60893128;255.8974304;928637351.6;259326385.3;263892408.3;259326385.3;669310966.3;9046025000;3616871000;70922595.25;74963697.28;140875032.2;136160780.4;0.12485004;0.12485004;0;2461011062
PPRUF;Luxury Goods;Consumer Cyclical;France;2020;39055.28293;10.57273343;313.706966;1433957301;439159220.1;372916420.5;439159220.1;994798080.6;12294499000;5233810000;68097924.29;159539684.8;210877286.9;249613664.2;0.26377631;0.26377631;0;3396371772
PPRUY;Luxury Goods;Consumer Cyclical;France;2021;43658.97898;10.68416424;250.8150357;1861252279;465471243.6;498301234.8;477923015.5;1383329263;16401029000;6738478000;91621446.66;179470830.9;220831384.7;290354129.5;0.29866088;0.29866088;0;4316303281
PPRUY;Luxury Goods;Consumer Cyclical;France;2022;44968.74835;10.71372305;340.5026986;3958751984;1542324871;728955808.4;1555080873;2403671111;36589331000;10465043000;133525465.4;499211232.5;339667141.2;610465531.6;0.83478164;0.83478164;0;9040340355
PPRUY;Luxury Goods;Consumer Cyclical;France;2019;40494.89829;10.60893128;255.8974304;976752965.8;632831131;336081741.8;451011528.1;525741437.6;10494828000;5054306000;172758672.4;59106028.57;67998962.28;92188106.72;0.232361837;0.232361837;0;749406857
PPRUY;Luxury Goods;Consumer Cyclical;France;2020;39055.28293;10.57273343;313.706966;1171835805;755483198.3;377023374.8;534691165.8;637144638.7;11483555000;6088181000;285233135.8;75440697.87;137065882;130817443.5;0.296573926;0.296573926;0;880744386.6
SBGSF;Specialty Industrial Machinery;Industrials;France;2019;40494.89829;10.60893128;255.8974304;7335940000;6429832000;3499529000;3504581000;3831359000;6705315000;3161732000;374821000;221629000;364132000;458990000;0.094799;0.094799;9970000;1665207000
SBGSF;Specialty Industrial Machinery;Industrials;France;2020;39055.28293;10.57273343;313.706966;7743087000;6927009000;3272195000;4098397000;3644690000;6701222000;3046478000;849446000;267337000;484822000;483478000;0.13;0.13;18160000;1652488000
SBGSY;Specialty Industrial Machinery;Industrials;France;2020;39055.28293;10.57273343;313.706966;149377000;95028000;838000;95162000;54215000;77814000;9051000;4823000;-4940000;-498000;-7724000;-0.0009;-0.0009;0;309367000
SBGSY;Specialty Industrial Machinery;Industrials;France;2021;43658.97898;10.68416424;250.8150357;183022000;104485000;518000;104632000;78390000;65864000;7523000;38411000;9550000;35852000;12325000;0.0017;0.0017;0;412096000
SBGSY;Specialty Industrial Machinery;Industrials;France;2022;44968.74835;10.71372305;340.5026986;192224000;107338000;245000;107489000;84735000;72910000;5889000;31225000;2892000;-336000;3239000;0.0005;0.0005;0;473879000
SBGSY;Specialty Industrial Machinery;Industrials;France;2019;40494.89829;10.60893128;255.8974304;2.66E+11;28300000000;94100000000;29800000000;2.362E+11;1.38E+11;1.436E+11;84900000000;-4979000000;2677000000;5376000000;-4.99;-4.99;0;95215000000
SNY;Drug Manufacturers—General;Healthcare;France;2020;39055.28293;10.57273343;313.706966;130685000;89933000;20008000;87420000;43265000;65657000;14421000;29716000;387000;-6054000;1959000;0.01;0.01;0;112519000
SNY;Drug Manufacturers—General;Healthcare;France;2019;40494.89829;10.60893128;255.8974304;49271000000;33264000000;28042000000;6319000000;42952000000;44447000000;34778000000;2117000000;-1293000000;7591000000;10485000000;-0.695916;-0.695916;1565000000;19796000000
SNY;Drug Manufacturers—General;Healthcare;France;2020;39055.28293;10.57273343;313.706966;47414000000;30896000000;29471000000;2925000000;44489000000;40297000000;35426000000;4945000000;4467000000;8154000000;10869000000;02.апр;02.апр;1602000000;20841000000
SNY;Drug Manufacturers—General;Healthcare;France;2021;43658.97898;10.68416424;250.8150357;39523000000;25333000000;28044000000;-1606000000;41129000000;33440000000;32550000000;4544000000;2475000000;8236000000;11560000000;янв.34;янв.34;1647000000;21111000000
SNYNF;Drug Manufacturers—General;Healthcare;France;2019;40494.89829;10.60893128;255.8974304;84397000000;48643000000;26346000000;26001000000;58396000000;56914000000;36176000000;9676000000;9843000000;9967000000;12241000000;3.876699;мар.81;1587000000;46840000000
SNYNF;Drug Manufacturers—General;Healthcare;France;2020;39055.28293;10.57273343;313.706966;91588000000;50677000000;31791000000;25404000000;66184000000;63824000000;38857000000;8062000000;7067000000;5569000000;8483000000;2.793031;фев.78;1674000000;47994000000
SNYNF;Drug Manufacturers—General;Healthcare;France;2021;43658.97898;10.68416424;250.8150357;1.05694E+11;68874000000;33102000000;38257000000;67437000000;75428000000;43565000000;8096000000;13049000000;9661000000;13199000000;май.16;май.14;1768000000;48704000000
TTE;Oil & Gas Integrated;Energy;France;2020;39055.28293;10.57273343;313.706966;174566750.6;99093764.9;58365562.98;77266326.55;97300424.07;2111358000;693091000;2101375.728;-6708538.506;15358758.32;6269854.143;-0.015441352;-0.015441352;0;151646271.6
TTE;Oil & Gas Integrated;Energy;France;2021;43658.97898;10.68416424;250.8150357;167512049.1;118023837.5;48810460.95;83256398.61;84255650.51;2107289000;948813000;3786194.064;6581216.007;7722471.306;11561632.8;0.015124498;0.015124498;0;137491083.2
